time, alt, vs, desired_vs, hs, desired_hs, ang, desired_ang, acc, nn, fuel
320.0, 8619.165864406621, 32.65331172584105, 30.0, 399.2812500306466, 401.87792748183057, 60.000567384621455, 60.0, 2.362723791060578, 0.8629033816106839, 65.0857732383128
330.0, 8289.362125375997, 33.246923401042004, 30.0, 378.660656589585, 381.85412904068556, 60.00056684263268, 60.0, 2.4034361183354656, 0.870428728569532, 63.16087967363444
340.0, 7953.654184425894, 33.8352165909074, 24.0, 357.687449880403, 361.4718611972864, 60.00056630116163, 60.0, 2.7852383062276753, 1.0, 61.19249440571983
350.0, 7618.828320370732, 33.375710949506235, 24.0, 334.5337188191153, 341.14314802250874, 60.00056576020783, 60.0, 2.5732882048729895, 0.9153114252652682, 59.08923991690261
360.0, 7283.437243952715, 33.73385502283931, 24.0, 312.423223326373, 320.7801183828434, 60.000565219770756, 60.0, 2.543440896703056, 0.8966052061378067, 57.08547507395259
370.0, 6942.828005128563, 34.35791446454363, 24.0, 290.409127657425, 300.1002717399484, 60.00056467984994, 60.0, 2.5452208960363967, 0.8892347419131759, 55.10580232062094
380.0, 6595.169966679725, 35.106442741076854, 24.0, 268.2460645277085, 278.9924622626976, 60.00056414044487, 60.0, 2.579857829805201, 0.8932370466615409, 53.12804290818687
390.0, 6239.8907698769735, 35.874134052653666, 24.0, 245.7475228864361, 257.4219395996734, 60.00056360155507, 60.0, 2.620541607286646, 0.8990459125934532, 51.138115631880694
400.0, 5876.921494864202, 36.64065860593209, 24.0, 222.87241005336065, 235.38451933104082, 60.00056306318003, 60.0, 2.6675881357960085, 0.9066966078349977, 49.133079717569224
410.0, 5506.38130778835, 37.38988044410775, 24.0, 199.5862443455, 212.88743654429263, 60.00056252531928, 60.0, 2.714804696095505, 0.9140324462078483, 47.111184992103325
420.0, 5128.431267052168, 38.124083152371995, 24.0, 175.8861652259762, 189.9404697853102, 60.00056198797231, 60.0, 2.763437789202248, 0.9214658194525835, 45.072927468620065
430.0, 4743.221701353482, 38.84394108643967, 24.0, 151.76644683487763, 166.55274615360423, 60.00056145113864, 60.0, 2.811527233557099, 0.9283342005989871, 43.01880892237293
440.0, 4350.869320446499, 39.554109359383276, 24.0, 127.22822896406367, 142.73135159853746, 60.00056091481776, 60.0, 2.8601901239939234, 0.9350083913009408, 40.949695993301795
450.0, 3951.455672075136, 40.257516977161664, 24.0, 102.26965275716597, 118.48123723313326, 60.00056037900921, 60.0, 2.908581152027718, 0.9412092259559869, 38.866346290145046
460.0, 3545.027472538818, 40.95776915706836, 24.0, 76.89001370261964, 93.80523940414253, 60.00055984371248, 60.0, 2.957486435406394, 0.9471913579184652, 36.769498701567244
470.0, 3131.6024919581746, 41.657396605412195, 24.0, 51.08671703948665, 68.70443701174631, 60.00055930892709, 60.0, 3.0064672716616396, 0.9528106941730258, 34.6598276612017
480.0, 2711.172965866599, 42.358808984989075, 24.0, 24.85691616658996, 43.17835864190066, 60.000558774652546, 60.0, 3.0560223760914584, 0.9582227402760168, 32.53792743689783
490.0, 2283.709922369825, 43.064720273261905, 24.0, 0.0, 17.22524528673938, 60.00055824088836, 60.0, 2.4966854719528673, 0.7745522252347026, 30.44628563732615
500.0, 1849.1648153676438, 43.4484031618271, 24.0, 0.0, 0.0, 60.00055770763406, 60.0, 3.2604259711459305, 1.0, 28.226285637326136
510.0, 1415.657755552705, 43.06570129348096, 24.0, 0.0, 0.0, 55.56025717488914, 50.0, 3.2983207746168874, 1.0, 26.006285637326123
520.0, 1011.9372527640327, 36.69481645595548, 24.0, 0.0, 0.0, 34.92122334765209, 30.0, 3.2828836118630984, 0.9837702087900699, 23.789888650974714
530.0, 693.0402530500857, 29.36836874516627, 24.0, 0.0, 0.0, 1.6866164180283825, 0.0, 2.0775716364867356, 0.6174994972591574, 22.24970847750258
540.0, 421.16195016332165, 23.40230276506087, 12.0, 0.0, 0.0, 0.059000867144473196, 0.0, 2.8217442428230326, 0.8319369981191125, 20.743378461076002
550.0, 229.17146022392623, 14.165581433638787, 6.0, 0.0, 0.0, 0.0, 0.0, 1.943579757928511, 0.5680877636006848, 19.14232274670335
560.0, 107.42371374867919, 10.472751914025807, 6.0, 0.0, 0.0, 0.0, 0.0, 1.9332782779310898, 0.561128984807726, 17.855859119867475
561.0, 97.26224011258448, 10.161473636094717, 3.0, 0.0, 0.0, 0.0, 0.0, 2.028177516013824, 0.588252822418119, 17.725266993290653
562.0, 87.50694399250358, 9.755296120080894, 3.0, 0.0, 0.0, 0.0, 0.0, 3.4519929992440113, 1.0, 17.50326699329065
563.0, 79.58164087166669, 7.925303120836883, 3.0, 0.0, 0.0, 0.0, 0.0, 3.4561971747935507, 1.0, 17.28126699329065
564.0, 73.49053492562336, 6.091105946043332, 3.0, 0.0, 0.0, 0.0, 0.0, 2.431801727420109, 0.7030037719775857, 17.125200155911624
565.0, 68.20923070700015, 5.281304218623223, 3.0, 0.0, 0.0, 0.0, 0.0, 1.313316637294699, 0.37948795767147153, 17.040953829308556
566.0, 62.61924312567162, 5.589987581328524, 3.0, 0.0, 0.0, 0.0, 0.0, 0.8637708853449936, 0.24951401550007685, 16.98556171786754
567.0, 56.27102642968809, 6.34821669598353, 3.0, 0.0, 0.0, 0.0, 0.0, 1.2036934812279156, 0.34755866620160114, 16.908403693970786
568.0, 49.50450321493248, 6.7665232147556145, 2.0, 0.0, 0.0, 0.0, 0.0, 1.892655318327061, 0.5461276849428867, 16.787163347913467
569.0, 43.00863531850392, 6.495867896428553, 2.0, 0.0, 0.0, 0.0, 0.0, 3.110545627908786, 0.8965684900699666, 16.588125143117935
